,id,title,original_title,overview,release_date,year,budget,revenue,profit,runtime,popularity,vote_average,vote_count,genres,production_companies,production_countries,spoken_languages
417,644713.0,Lefters,Lefters,Two couples of young people of Russian origin share their experiences to make the radical homophobia suffered by the homosexual collective in their country more visible.,2018-03-20,2018.0,0.0,0.0,0,3.0,0.0071,0.0,0.0,,,,
418,520769.0,Farewell for Today,今日の日はさようなら,"Kouta Fujioka is a 29-year old man who has a good family, including his father who always supports him, his mother who enjoys cooking, and his older sister with her bright personality. He also has a girlfriend named Etsuko Tanebe. Kouta wants people to eat delicious foods made by him and begins a job as an apprentice chef at a restaurant. One day, Kouta suddenly passes out and is sent to the hospital, where he is diagnosed with malignant lymphoma, completely changing his life. Given three months left to live, Kouta makes up his mind, with the support of his family and those he meets at the hospital, to accept his fate and ""face a proper death"".",2013-08-24,2013.0,0.0,0.0,0,109.0,1.273,0.0,0.0,Drama,Nippon Television Network Corporation,Japan,日本語
419,731817.0,Conspiracy,Zavjera,"On its way to joining NATO, the small nation of Montenegro got in the way of the great state of Russia. Moscow agents plan to stage a coup in Mediterranean country on the day of the parliamentary elections. The goal is to remove the pro-Western prime minister and install pro-Russian rule. But an insider, a “small man” with an awakened conscience, afraid the conspiracy will cost many lives, decides to change the course of history.",2020-08-15,2020.0,0.0,0.0,0,90.0,0.0143,0.0,0.0,Documentary,Dokument Podgorica,Montenegro,"English,Srpski"
420,672221.0,Der Boandlkramer und die ewige Liebe,Der Boandlkramer und die ewige Liebe,"Death (in Bavarian: Boandlkramer) is supposed to get little Maxl, but he falls in love with Maxl's mother. Confused by the previously unknown feelings, he confides in the devil. The incarnate persuades him to start a business where the Boandlkramer gets the chance to compete for Gefi as a mortal. Encouraged by the advice of the recently deceased womanizer Max Gumberger, the Boandl stumbles through earthly life in search of eternal love.",2021-05-14,2021.0,0.0,0.0,0,87.0,0.2982,5.9,32.0,"Comedy,Family,Fantasy,Romance","Perathon Film-und Fernsehproduktions,Leonine Studios,herbX film",Germany,Deutsch
421,819821.0,Naamcheen,Naamcheen,"Indebted to Rana, Rajan is forced to join his gang and be a part of his criminal activities.",1991-12-16,1991.0,0.0,0.0,0,0.0,0.0286,1.0,2.0,,,,
424,211114.0,Blaze You Out,Blaze You Out,"Lupe, a strong-willed aspiring DJ, and her younger sister Alicia live in the Esperanza Valley, a community that is suffocating by generations of heroin use. When Alicia witnesses a murder and disappears, Lupe sets out on a dangerous journey that forces her into the town's ruthless underworld. She quickly discovers that in order to save the person that matters most, she must harness the power that exists within her and connect with the divine that surrounds her.",2013-07-30,2013.0,0.0,0.0,0,98.0,3.5149,2.7,3.0,"Action,Drama,Thriller",,United States of America,English
425,289250.0,The Great Lesson,The Great Lesson,"The Great Lesson is a provocative new film about the unlimited boundaries of mind and body. World renowned martial art masters, T'ai Chi and dance visionaries, a cell biologist, sports psychologist, holistic psychotherapist, executive business coach, Harvard professor and inspiring self-healer join their expertise and vision in one film to explain the relevance of The Great Lesson for all of life.",2012-06-20,2012.0,0.0,0.0,0,0.0,0.0193,0.0,0.0,,,,
426,109638.0,The Most Fun You Can Have Dying,The Most Fun You Can Have Dying,"Michael has life pretty sweet. His girlfriend adores him, his best mate David is loyal to the end, plus David’s girlfriend doesn’t mind a quick hook-up either.  But Michael’s self-regarding lifestyle comes crashing down when he is diagnosed with a terminal illness. Desperate not to let his life just fade away, Michael steals the $200,000 raised for his treatment, and catches a one-way flight to London.  He isn’t there for long before his nerve and sense of humour earn him a vicious beating in a back alley. Waking up cold and bloodied, he finds himself being watched over by the ethereal Sylvie; a mysterious French drifter. They fall head over heels in love, and attempt to outrun death itself.",2012-04-26,2012.0,0.0,0.0,0,94.0,4.6059,4.625,8.0,"Drama,Romance",Chocolate Fish Pictures,New Zealand,English
427,13705.0,The Christmas Star,The Christmas Star,"Horace McNickle (Edward Asner) is a two-time felon serving prison time for counterfeiting. On the week before Christmas, he escapes from prison dressed as Santa Claus due to his uncanny resemblence to St. Nick resulting from his long white beard and heavyset features. McNickle hides out from the police in a nearby suburban neighborhood where he is befriended and helped by two local children who think he is the real Santa Claus. McNickle takes advantage of the kids naive ness to help him get his counterfeit money hidden somewhere in a local department store while he develops kind-hearted feelings for his two con victims that make him slowly understand the true nature of Christmas.",1986-12-14,1986.0,0.0,0.0,0,94.0,3.2862,5.6,31.0,"Drama,Family,TV Movie","Lake Walloon Productions,Walt Disney Television",United States of America,English
428,331471.0,Far Too Far,Far Too Far,Directed by Justin Hunt.,2015-04-03,2015.0,0.0,0.0,0,0.0,0.0387,0.0,0.0,,,,
429,725313.0,Scattered Pages,Brokiga blad,"Vera Nilsson is friendly with the poor neighbor boy Håkan, this is not seen kindly by Vera's father Nils.",1931-01-01,1931.0,0.0,0.0,0,98.0,3.1962,0.0,0.0,Comedy,,Sweden,
430,442194.0,Iris,Iris,"Iris is ingenious neo-noir comedy set in Croatia 90, in the gloomy post-war era dominated by tycoons, corruption and war profiteers.",2012-01-01,2012.0,0.0,0.0,0,29.0,1.6215,0.0,0.0,"Comedy,Crime,TV Movie",Grupa Sedam,Croatia,Hrvatski
